		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-114.7	5.895	-101.9	4.475	0.0008017	99
4	100	-108.2	5.163	-95.04	4.059	0.001434	86
8	100	-86.35	4.245	-74.33	3.267	0.002683	76
16	100	-92.49	4.825	-76.63	3.46	0.005244	64
32	100	-74.56	3.716	-64.95	2.582	0.009967	81
64	100	-71.18	3.787	-62.84	2.828	0.02134	87
128	100	-56	2.335	-52.17	1.987	0.04031	99
256	100	-47.43	1.868	-44.79	1.685	0.08516	100
512	100	-41.45	1.752	-39.45	1.617	0.1891	100
1024	100	-37.04	1.686	-35.48	1.552	0.4275	100
2048	100	-37.04	1.482	-35.8	1.373	0.8918	100
4096	100	-35.87	1.612	-34.96	1.515	1.899	100
8192	100	-33.93	1.351	-33.11	1.275	3.881	100
16384	100	-36.48	1.478	-35.49	1.391	8.293	100
32768	100	-33.32	1.51	-32.54	1.413	11.18	100
65536	100	-35.02	1.445	-34.03	1.34	24.21	100
