		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-107.9	5.386	-96.92	3.969	0.01484	99
4	100	-96.79	4.509	-85.44	3.512	0.05913	95
8	100	-86.41	3.95	-74.27	2.952	0.1834	80
16	100	-82.58	4.091	-70.53	2.975	0.4716	79
32	100	-68.45	3.686	-57.88	2.532	1.2	80
64	100	-55.76	3.001	-48.2	2.148	3.17	90
128	100	-39.52	2.385	-35.53	1.916	7.903	97
256	100	-29.21	1.791	-27.05	1.545	17.76	100
512	100	-24.56	1.406	-23.09	1.221	40.68	100
1024	100	-17.35	1.423	-16.43	1.269	84.74	100
2048	100	-9.145	1.191	-9.004	1.105	10.41	100
4096	100	-9.07	1.164	-9.074	1.074	36.65	100
8192	100	-9.005	1.247	-8.993	1.16	97.68	100
16384	100	-10.84	1.257	-10.7	1.182	72.17	100
32768	100	-12.12	1.318	-11.96	1.232	134.3	100
65536	100	-9.855	1.188	-9.893	1.125	240	100
